SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
PENINSULA,ACCIONA,FIJO,CIERZO,2.0TD,-,0.0881206575342465,0.0195702191780821,0.0,0.0,0.0,0.0,0.355703,0.304626,0.265992,0,0,0
PENINSULA,ACCIONA,FIJO,LEVANTE,2.0TD,-,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0,0.366868,0.315791,0.277157,0,0,0
PENINSULA,ACCIONA,FIJO,LEVANTE+,2.0TD,-,0.082641205479452,0.0140907671232876,0.0,0.0,0.0,0.0,0.366868,0.315791,0.277157,0,0,0
PENINSULA,ACCIONA,FIJO,PONIENTE,2.0TD,-,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0,0.360778,0.309701,0.271067,0,0,0
PENINSULA,ACCIONA,FIJO,PONIENTE+,2.0TD,-,0.0771617534246575,0.0086113150684931,0.0,0.0,0.0,0.0,0.360778,0.309701,0.271067,0,0,0
PENINSULA,ACCIONA,FIJO,TRAMONTANA,2.0TD,-,0.0716821917808219,0.0031318630136986,0.0,0.0,0.0,0.0,0.355703,0.304626,0.265992,0,0,0
PENINSULA,ACCIONA,FIJO,TRAMONTANA+,2.0TD,-,0.0744220273972602,0.0058715890410958,0.0,0.0,0.0,0.0,0.355703,0.304626,0.265992,0,0,0
CANARIAS,ACCIONA,FIJO,CIERZO,2.0TD,-,0.0881206575342465,0.0195702191780821,0.0,0.0,0.0,0.0,0.356437903,0.305364053,0.266743763,0,0,0
CANARIAS,ACCIONA,FIJO,LEVANTE,2.0TD,-,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
CANARIAS,ACCIONA,FIJO,LEVANTE+,2.0TD,-,0.082641205479452,0.0140907671232876,0.0,0.0,0.0,0.0,0.367602903,0.31652905299999995,0.27790876299999995,0,0,0
CANARIAS,ACCIONA,FIJO,PONIENTE,2.0TD,-,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
CANARIAS,ACCIONA,FIJO,PONIENTE+,2.0TD,-,0.0771617534246575,0.0086113150684931,0.0,0.0,0.0,0.0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
