SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,P1,P2,P3,P4,P5,P6
BALEARES,ACCIONA,INDEXADO,CIERZO,2.0TD,0.0881206575342465,0.0195702191780821,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,LEVANTE+,2.0TD,0.082641205479452,0.0140907671232876,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,LEVANTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,PONIENTE+,2.0TD,0.0771617534246575,0.0086113150684931,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,PONIENTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,TRAMONTANA+,2.0TD,0.0744220273972602,0.0058715890410958,0.0,0.0,0.0,0.0
BALEARES,ACCIONA,INDEXADO,TRAMONTANA,2.0TD,0.0716821917808219,0.0031318630136986,0.0,0.0,0.0,0.0
BALEARES,AEQ,INDEXADO,ARMONIA,2.0TD,0.071803,0.005528,0.0,0.0,0.0,0.0
BALEARES,AEQ,INDEXADO,EQUILIBRIO,2.0TD,0.081597,0.013542,0.0,0.0,0.0,0.0
BALEARES,AEQ,INDEXADO,SIMETRIA,2.0TD,0.092145,0.022172,0.0,0.0,0.0,0.0
BALEARES,HOLALUZ,INDEXADO,TRES PRECIOS CLASICO,2.0TD,0.065072,0.002683,0.0,0.0,0.0,0.0
BALEARES,HOLALUZ,INDEXADO,UN PRECIO CLASICO,2.0TD,0.065072,0.002683,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,CIERZO,2.0TD,0.0881206575342465,0.0195702191780821,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,LEVANTE+,2.0TD,0.082641205479452,0.0140907671232876,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,LEVANTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,PONIENTE+,2.0TD,0.0771617534246575,0.0086113150684931,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,PONIENTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,TRAMONTANA+,2.0TD,0.0744220273972602,0.0058715890410958,0.0,0.0,0.0,0.0
CANARIAS,ACCIONA,INDEXADO,TRAMONTANA,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
CANARIAS,AEQ,INDEXADO,ARMONIA,2.0TD,0.071803,0.005528,0.0,0.0,0.0,0.0
CANARIAS,AEQ,INDEXADO,EQUILIBRIO,2.0TD,0.081597,0.013542,0.0,0.0,0.0,0.0
CANARIAS,AEQ,INDEXADO,SIMETRIA,2.0TD,0.092145,0.022172,0.0,0.0,0.0,0.0
CANARIAS,HOLALUZ,INDEXADO,TRES PRECIOS CLASICO,2.0TD,0.065072,0.002683,0.0,0.0,0.0,0.0
CANARIAS,HOLALUZ,INDEXADO,UN PRECIO CLASICO,2.0TD,0.065072,0.002683,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,CIERZO,2.0TD,0.0881206575342465,0.0195702191780821,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,LEVANTE+,2.0TD,0.082641205479452,0.0140907671232876,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,LEVANTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,PONIENTE+,2.0TD,0.0771617534246575,0.0086113150684931,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,PONIENTE,2.0TD,0.071682301369863,0.0031318630136986,0.0,0.0,0.0,0.0
PENINSULA,ACCIONA,INDEXADO,TRAMONTANA+,2.0TD,0.0744220273972602,0.0058715890410958,0.0,0.0,0.0,0.0
