SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
PENINSULA,ACCIONA,FIJO,CIERZO,2.0TD,-,0.08812065753424657,0.01957021917808219,0,0,0,0,0.355703,0.304626,0.265992,0,0,0
PENINSULA,ACCIONA,FIJO,LEVANTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.366868,0.315791,0.277157,0,0,0
PENINSULA,ACCIONA,FIJO,LEVANTE+,2.0TD,-,0.08264120547945206,0.014090767123287672,0,0,0,0,0.366868,0.315791,0.277157,0,0,0
PENINSULA,ACCIONA,FIJO,PONIENTE,2.0TD,-,0.07168230136986302,0.0031318630136986303,0,0,0,0,0.360778,0.309701,0.271067,0,0,0
PENINSULA,ACCIONA,FIJO,PONIENTE+,2.0TD,-,0.07716175342465753,0.008611315068493152,0,0,0,0,0.360778,0.309701,0.271067,0,0,0
PENINSULA,ACCIONA,FIJO,TRAMONTANA,2.0TD,-,0.07168219178082193,0.0031318630136986303,0,0,0,0,0.355703,0.304626,0.265992,0,0,0
PENINSULA,ACCIONA,FIJO,TRAMONTANA+,2.0TD,-,0.07442202739726027,0.0058715890410958906,0,0,0,0,0.355703,0.304626,0.265992,0,0,0
PENINSULA,ACCIONA,FIJO,CIERZO,3.0TD,-,0.056000273972602745,0.04692413698630137,0.03047468493150685,0.028047917808219178,0.023445424657534245,0.021316520547945205,0.34108,0.322502,0.291035,0.280202,0.262243,0.261887
PENINSULA,ACCIONA,FIJO,LEVANTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.352245,0.333667,0.3022,0.291367,0.273408,0.273052
PENINSULA,ACCIONA,FIJO,LEVANTE+,3.0TD,-,0.05052082191780822,0.041444684931506846,0.02499523287671233,0.022568465753424655,0.017965972602739726,0.015837068493150683,0.352245,0.333667,0.3022,0.291367,0.273408,0.273052
PENINSULA,ACCIONA,FIJO,PONIENTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.346155,0.327577,0.29611,0.285277,0.267318,0.266962
PENINSULA,ACCIONA,FIJO,PONIENTE+,3.0TD,-,0.0450413698630137,0.03596523287671233,0.019515780821917808,0.017089013698630137,0.012486520547945204,0.010357616438356166,0.346155,0.327577,0.29611,0.285277,0.267318,0.266962
PENINSULA,ACCIONA,FIJO,TRAMONTANA,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.34108,0.322502,0.291035,0.280202,0.262243,0.261887
PENINSULA,ACCIONA,FIJO,TRAMONTANA+,3.0TD,-,0.04230164383561644,0.033225506849315065,0.01677605479452055,0.014349287671232877,0.009746794520547946,0.0076178904109589045,0.34108,0.322502,0.291035,0.280202,0.262243,0.261887
PENINSULA,ACCIONA,FIJO,CIERZO,6.1TD,-,0.07785509589041097,0.07224882191780821,0.04788531506849315,0.041247835616438355,0.021896219178082193,0.019685671232876713,0.302987,0.287253,0.265079,0.256972,0.237417,0.23841
PENINSULA,ACCIONA,FIJO,LEVANTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.314152,0.298418,0.276244,0.268137,0.248582,0.249575
PENINSULA,ACCIONA,FIJO,LEVANTE+,6.1TD,-,0.07237564383561644,0.0667693698630137,0.04240586301369863,0.035768383561643836,0.01641676712328767,0.014206219178082192,0.314152,0.298418,0.276244,0.268137,0.248582,0.249575
PENINSULA,ACCIONA,FIJO,PONIENTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.308062,0.292328,0.270154,0.262047,0.242492,0.243485
PENINSULA,ACCIONA,FIJO,PONIENTE+,6.1TD,-,0.06689619178082191,0.06128991780821917,0.03692641095890411,0.030288931506849314,0.01093731506849315,0.008726767123287672,0.308062,0.292328,0.270154,0.262047,0.242492,0.243485
PENINSULA,ACCIONA,FIJO,TRAMONTANA,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.302987,0.287253,0.265079,0.256972,0.237417,0.23841
PENINSULA,ACCIONA,FIJO,TRAMONTANA+,6.1TD,-,0.06415646575342467,0.058550191780821915,0.034186684931506846,0.027549205479452055,0.00819758904109589,0.005987041095890411,0.302987,0.287253,0.265079,0.256972,0.237417,0.23841
PENINSULA,ACCIONA,FIJO,CIERZO,6.2TD,-,0.06026953424657534,0.05697786301369863,0.037051178082191785,0.035406849315068496,0.019981287671232875,0.01868317808219178,0.283593,0.271622,0.254839,0.249912,0.234389,0.232643
PENINSULA,ACCIONA,FIJO,LEVANTE,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.294758,0.282787,0.266004,0.261077,0.245554,0.243808
