SISTEMA,TARIFA,CIA,MES,FEE,P1.,P2.,P3.,P4.,P5,P6.
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Cierzo,0.209373,0.162565,0.139301,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Levante,0.228658,0.18185,0.158586,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Levante+,0.228658,0.18185,0.158586,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Poniente,0.218508,0.1717,0.148436,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Poniente+,0.218508,0.1717,0.148436,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Tramontana,0.211403,0.164595,0.141331,0,0,0
BALEARES,2.0TD,ACCIONA,2023-10-01 00:00:00,Tramontana+,0.211403,0.164595,0.141331,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Cierzo,0.224931,0.178193,0.155249,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Levante,0.244216,0.197478,0.174534,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Levante+,0.244216,0.197478,0.174534,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Poniente,0.234066,0.187328,0.164384,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Poniente+,0.234066,0.187328,0.164384,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Tramontana,0.226961,0.180223,0.157279,0,0,0
BALEARES,2.0TD,ACCIONA,2023-09-01 00:00:00,Tramontana+,0.226961,0.180223,0.157279,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Cierzo,0.216338,0.169562,0.146441,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Levante,0.235623,0.188847,0.165726,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Levante+,0.235623,0.188847,0.165726,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Poniente,0.225473,0.178697,0.155576,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Poniente+,0.225473,0.178697,0.155576,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Tramontana,0.218368,0.171592,0.148471,0,0,0
BALEARES,2.0TD,ACCIONA,2023-08-01 00:00:00,Tramontana+,0.218368,0.171592,0.148471,0,0,0
BALEARES,2.0TD,ACCIONA,2023-07-01 00:00:00,Cierzo,0.20976171,0.16295532,0.13969997,0,0,0
BALEARES,2.0TD,ACCIONA,2023-07-01 00:00:00,Levante,0.22904671,0.18224032,0.15898497,0,0,0
BALEARES,2.0TD,ACCIONA,2023-07-01 00:00:00,Levante+,0.22904671,0.18224032,0.15898497,0,0,0
