Fecha;Precio mínimo;Precio medio aritmético;Precio máximo;
01/04/23;4,16;33,99;82,19;
02/04/23;0;15,74;50,00;
03/04/23;19,20;61,79;165,33;
04/04/23;8,00;56,21;106,14;
05/04/23;42,02;104,09;166,06;
06/04/23;25,00;89,65;135,54;
07/04/23;1,50;83,21;143,35;
08/04/23;10,00;86,62;140,21;
09/04/23;0,10;75,57;127,99;
10/04/23;0,10;52,54;98,21;
11/04/23;35,00;91,40;142,13;
12/04/23;1,60;38,90;98,62;
13/04/23;0,10;57,00;123,54;
14/04/23;1,50;46,73;90,76;
15/04/23;0;21,77;44,28;
16/04/23;0;25,41;127,85;
17/04/23;25,00;66,66;134,25;
18/04/23;74,74;96,19;141,40;
19/04/23;88,58;113,48;145,00;
20/04/23;49,87;108,28;147,42;
21/04/23;25,00;100,90;145,99;
22/04/23;4,16;78,78;129,27;
23/04/23;0;49,94;125,02;
24/04/23;25,00;92,08;136,55;
25/04/23;20,00;90,95;141,54;
26/04/23;79,47;108,73;146,12;
27/04/23;86,48;109,05;142,58;
28/04/23;80,00;107,89;126,93;
29/04/23;4,16;83,43;120,00;
30/04/23;1,50;65,04;122,20;
