Fecha;Precio mínimo;Precio medio aritmético;Precio máximo;
01/01/23;0;6,70;40,07;
02/01/23;42,00;112,55;174,74;
03/01/23;113,63;138,79;171,18;
04/01/23;80,23;115,26;167,29;
05/01/23;61,97;109,19;177,98;
06/01/23;70,00;104,14;137,73;
07/01/23;4,16;23,77;53,42;
08/01/23;4,16;10,28;40,00;
09/01/23;4,20;85,78;171,62;
10/01/23;64,30;109,40;144,74;
11/01/23;4,16;83,84;139,02;
12/01/23;55,70;92,69;142,22;
13/01/23;38,70;88,48;154,70;
14/01/23;35,00;53,00;80,00;
15/01/23;3,10;22,05;50,56;
16/01/23;3,00;13,22;34,20;
17/01/23;0,65;5,10;17,50;
18/01/23;0,10;21,61;122,70;
19/01/23;18,35;34,51;94,80;
20/01/23;29,99;91,20;207,80;
21/01/23;37,76;58,89;111,56;
22/01/23;11,00;37,70;128,97;
23/01/23;34,44;71,92;157,22;
24/01/23;47,85;87,45;220,00;
25/01/23;64,80;93,25;210,34;
26/01/23;50,27;67,40;99,76;
27/01/23;15,00;45,67;82,01;
28/01/23;15,00;41,42;74,89;
29/01/23;36,45;68,41;178,58;
30/01/23;90,00;135,37;220,00;
31/01/23;99,00;127,07;187,36;
;;;;
