0;1;2;3;4;5;6;7;8
8;C2_liquicomun;/archives/8/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Liquidaciones;Descargas;zip;2020-02-11,2023-02-17;2020-01-01,2023-01-31
9;C3_liquicomun;/archives/9/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Liquidaciones;Descargas;zip;2020-05-21,2023-04-20;2020-01-01,2023-01-31
10;C4_liquicomun;/archives/10/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Liquidaciones;Descargas;zip;2020-09-21,2023-09-21;2020-01-01,2023-01-31
11;C5_liquicomun;/archives/11/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Liquidaciones;Descargas;zip;2021-07-22,2023-12-22;2020-01-01,2023-01-31
188;C5_PrecioFinal;/archives/188/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios;General;Descargas;zip;2023-07-25,2023-11-22;2022-04-01,2022-12-31
12;C6_liquicomun;/archives/12/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Liquidaciones;Descargas;zip;2022-02-22;2020-08-01,2020-08-31
40;COEF_KEST_MM;/archives/40/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios, Sistemas no peninsulares;Liquidaciones, Pérdidas;Descargas;xls;2019-12-10,2022-12-04;2020-01-01,2023-01-31
39;COEF_PERD_BAL_MM;/archives/39/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios, Sistemas no peninsulares;Liquidaciones, Pérdidas;Descargas;xls;2019-12-10,2021-04-19;2020-01-01,2021-05-31
38;COEF_PERD_CAN_MM;/archives/38/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios, Sistemas no peninsulares;Liquidaciones, Pérdidas;Descargas;xls;2019-12-10,2021-04-19;2020-01-01,2021-05-31
37;COEF_PERD_CEU_MM;/archives/37/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo, Mercados y precios, Sistemas no peninsulares;Liquidaciones, Pérdidas;Descargas;xls;2019-12-10,2021-04-19;2020-01-01,2021-05-31
