Fecha;Precio mínimo;Precio medio aritmético;Precio máximo;
01/02/23;98,15;128,55;189,74;
02/02/23;113,74;138,46;181,93;
03/02/23;106,63;138,58;185,13;
04/02/23;87,60;125,60;158,09;
05/02/23;17,69;79,38;144,59;
06/02/23;87,90;134,98;186,21;
07/02/23;111,97;137,36;165,74;
08/02/23;108,00;138,00;166,45;
09/02/23;136,85;145,00;165,00;
10/02/23;123,63;142,05;163,44;
11/02/23;103,36;131,76;161,01;
12/02/23;120,00;137,77;173,46;
13/02/23;129,04;146,77;186,59;
14/02/23;127,90;142,90;171,37;
15/02/23;121,75;145,07;175,00;
16/02/23;123,90;145,81;175,00;
17/02/23;110,00;133,56;162,09;
18/02/23;110,92;128,56;156,02;
19/02/23;104,41;124,09;159,20;
20/02/23;108,58;134,13;168,72;
21/02/23;130,56;151,43;175,61;
22/02/23;123,00;144,45;164,50;
23/02/23;115,27;140,57;164,46;
24/02/23;120,21;148,08;174,18;
25/02/23;117,93;143,10;163,34;
26/02/23;4,16;81,05;137,00;
27/02/23;89,98;117,51;174,49;
28/02/23;104,80;132,68;176,17;
