Fecha;Precio mínimo;Precio medio aritmético;Precio máximo;
01/03/23;121,13;145,91;170,41;
02/03/23;117,00;142,09;184,00;
03/03/23;115,50;142,56;169,00;
04/03/23;111,90;138,57;173,20;
05/03/23;123,26;143,92;184,02;
06/03/23;134,00;147,77;172,60;
07/03/23;93,60;120,99;152,10;
08/03/23;60,20;98,93;140,00;
09/03/23;14,00;73,59;121,36;
10/03/23;4,16;42,71;124,22;
11/03/23;1,49;30,03;100,00;
12/03/23;48,67;80,62;141,04;
13/03/23;4,16;36,84;95,11;
14/03/23;2,36;61,51;179,84;
15/03/23;107,00;132,68;190,00;
16/03/23;29,59;87,83;132,42;
17/03/23;27,83;70,27;127,69;
18/03/23;70,00;101,61;144,15;
19/03/23;50,00;95,87;152,91;
20/03/23;97,25;121,56;165,47;
21/03/23;99,00;119,34;145,66;
22/03/23;59,10;101,22;140,00;
23/03/23;42,06;83,84;122,61;
24/03/23;11,22;59,15;116,23;
25/03/23;0;39,04;77,00;
26/03/23;0;28,48;104,63;
27/03/23;49,25;102,63;187,60;
28/03/23;70,43;111,91;160,00;
29/03/23;4,16;68,91;121,87;
30/03/23;0,10;31,11;91,00;
31/03/23;0,19;16,53;35,61;
